rule,support,confidence,lift
"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER  ->  GREEN REGENCY TEACUP AND SAUCER",0.0204854018983539,0.8903394255874673,24.216650454785917
"GREEN REGENCY TEACUP AND SAUCER  ->  PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.0204854018983539,0.55718954248366,24.216650454785917
"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER  ->  PINK REGENCY TEACUP AND SAUCER",0.0204854018983539,0.7163865546218486,24.18858131487889
"PINK REGENCY TEACUP AND SAUCER  ->  GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.0204854018983539,0.691683569979716,24.18858131487889
GREEN REGENCY TEACUP AND SAUCER  ->  PINK REGENCY TEACUP AND SAUCER,0.0242700949176979,0.6601307189542484,22.289119569396387
PINK REGENCY TEACUP AND SAUCER  ->  GREEN REGENCY TEACUP AND SAUCER,0.0242700949176979,0.81947261663286,22.289119569396384
"PINK REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER  ->  ROSES REGENCY TEACUP AND SAUCER",0.0204854018983539,0.844059405940594,20.723027833756827
"ROSES REGENCY TEACUP AND SAUCER  ->  PINK REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",0.0204854018983539,0.5029498525073746,20.723027833756824
ROSES REGENCY TEACUP AND SAUCER  ->  GREEN REGENCY TEACUP AND SAUCER,0.0285954583683767,0.7020648967551623,19.095706325794826
GREEN REGENCY TEACUP AND SAUCER  ->  ROSES REGENCY TEACUP AND SAUCER,0.0285954583683767,0.7777777777777778,19.095706325794826
PINK REGENCY TEACUP AND SAUCER  ->  ROSES REGENCY TEACUP AND SAUCER,0.0230085305779166,0.7768762677484787,19.07357279194864
ROSES REGENCY TEACUP AND SAUCER  ->  PINK REGENCY TEACUP AND SAUCER,0.0230085305779166,0.5648967551622419,19.07357279194864
GARDENERS KNEELING PAD KEEP CALM  ->  GARDENERS KNEELING PAD CUP OF TEA,0.027514117505707,0.6172506738544475,16.387168607625412
GARDENERS KNEELING PAD CUP OF TEA  ->  GARDENERS KNEELING PAD KEEP CALM,0.027514117505707,0.7304625199362041,16.387168607625412
ALARM CLOCK BAKELIKE RED  ->  ALARM CLOCK BAKELIKE GREEN,0.0272738195362249,0.5989445910290238,14.449321249665406
ALARM CLOCK BAKELIKE GREEN  ->  ALARM CLOCK BAKELIKE RED,0.0272738195362249,0.6579710144927536,14.449321249665406
WOODEN FRAME ANTIQUE WHITE  ->  WOODEN PICTURE FRAME WHITE FINISH,0.027514117505707,0.5841836734693877,11.386793241886918
WOODEN PICTURE FRAME WHITE FINISH  ->  WOODEN FRAME ANTIQUE WHITE,0.027514117505707,0.5362997658079626,11.386793241886918
PAPER CHAIN KIT VINTAGE CHRISTMAS  ->  ,0.0262525531659257,0.6454948301329394,11.370271896712072
LUNCH BAG WOODLAND  ->  LUNCH BAG SPACEBOY DESIGN,0.0207857743602066,0.513353115727003,9.788403166542604
HEART OF WICKER LARGE  ->  HEART OF WICKER SMALL,0.0239096479634747,0.5031605562579013,9.025442477876105
LUNCH BAG PINK POLKADOT  ->  LUNCH BAG  BLACK SKULL.,0.0265529256277784,0.5212264150943396,8.711179624157005
LUNCH BAG PINK POLKADOT  ->  LUNCH BAG RED RETROSPOT,0.028295085906524,0.5554245283018868,8.254997051886793
LUNCH BAG WOODLAND  ->  LUNCH BAG RED RETROSPOT,0.0218671152228763,0.5400593471810089,8.026632047477746
JUMBO BAG STRAWBERRY  ->  JUMBO BAG RED RETROSPOT,0.023729424486363,0.635048231511254,7.305468460080396
JUMBO BAG PINK POLKADOT  ->  JUMBO BAG RED RETROSPOT,0.0303976931394929,0.6231527093596059,7.168624740843123
JUMBO STORAGE BAG SUKI  ->  JUMBO BAG RED RETROSPOT,0.0245103928871801,0.5666666666666667,6.518820548260769
JUMBO  BAG BAROQUE BLACK WHITE  ->  JUMBO BAG RED RETROSPOT,0.0208458488525771,0.5543130990415336,6.376707565062452
ROSES REGENCY TEACUP AND SAUCER  ->  REGENCY CAKESTAND 3 TIER,0.0211462213144298,0.5191740412979351,6.129199355635056
RED HANGING HEART T-LIGHT HOLDER  ->  WHITE HANGING HEART T-LIGHT HOLDER,0.0257118827345908,0.6666666666666666,5.890304317055909
